Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.00,0.1016,0.6638,-0.7913,-0.21,0.27,0.08
0.11,0.0913,0.6650,-0.7986,-0.32,0.55,-0.31
0.21,0.0894,0.6660,-0.7998,0.33,-1.63,-8.95
0.32,0.0759,0.6831,-0.7922,0.61,0.10,-1.89
0.42,0.0906,0.6702,-0.8049,-0.24,0.82,3.88
0.53,0.0977,0.6641,-0.8008,-0.25,0.74,-0.98
0.63,0.0928,0.6619,-0.7910,-0.05,0.21,-1.13
0.88,0.0869,0.6597,-0.7910,-0.15,0.60,-0.93
0.99,0.0740,0.6616,-0.8262,1.76,5.51,-2.21
1.09,0.0972,0.6621,-0.8120,0.56,-0.34,-0.76
1.20,0.0796,0.6660,-0.7986,0.81,0.07,-5.72
1.30,0.0820,0.6628,-0.8032,-0.15,0.71,-0.41
1.41,0.0808,0.6616,-0.8086,-0.02,0.31,-0.24
1.52,0.0850,0.6638,-0.8022,-0.06,0.44,-0.50
1.62,0.0854,0.6665,-0.7861,-0.33,0.98,-0.32
1.73,0.0896,0.6572,-0.7886,-0.08,0.88,-0.34
1.83,0.0869,0.6711,-0.8015,-0.11,0.31,-0.51
1.94,0.0803,0.6638,-0.8037,-0.43,0.35,-0.37
2.04,0.0864,0.6592,-0.8005,-0.08,0.81,-0.30
2.15,0.0664,0.6650,-0.8069,-0.03,1.02,-0.45
2.25,0.0808,0.6597,-0.8127,-0.16,0.35,-0.45
2.36,0.0813,0.6633,-0.8008,-0.24,0.37,-0.30
2.47,0.0842,0.6602,-0.7979,0.04,0.56,-0.38
2.57,0.0835,0.6638,-0.7944,-0.05,0.89,-0.53
2.68,0.0859,0.6616,-0.8152,-0.18,0.32,-0.51
2.78,0.0781,0.6677,-0.8008,-0.22,0.02,-0.46
2.89,0.0813,0.6641,-0.7930,-0.08,0.76,-0.40
2.99,0.0625,0.6160,-0.7480,-0.20,1.38,-1.43
3.10,0.0830,0.6594,-0.8088,-0.05,0.30,-0.55
3.20,0.0833,0.6584,-0.7939,-0.31,0.43,-0.50
3.31,0.0854,0.6406,-0.8049,-1.91,1.44,-0.18
3.42,0.0886,0.6436,-0.8010,-0.04,0.56,-0.54
3.52,0.0798,0.6606,-0.8076,-0.24,0.54,-0.38
3.63,0.0610,0.6914,-0.8677,-0.01,1.34,-0.79
3.73,0.0879,0.6646,-0.8086,-0.36,0.22,-0.60
3.84,0.0859,0.6555,-0.7832,-0.44,-0.18,0.00
3.94,0.0896,0.6619,-0.8005,-0.19,1.03,-0.45
4.05,0.0793,0.6614,-0.8003,-0.30,0.44,-0.31
4.15,0.0847,0.6677,-0.8018,-0.31,0.28,-0.28
4.26,0.0811,0.6641,-0.7900,-0.22,0.73,-0.34
4.36,0.0833,0.6702,-0.8098,-0.23,0.68,-0.42
4.47,0.0935,0.6631,-0.8105,-0.23,0.22,-0.49
4.58,0.0869,0.6589,-0.7986,-0.06,0.68,-0.35
4.68,0.0642,0.6628,-0.7986,-0.28,0.49,-0.33
4.79,0.0864,0.6570,-0.8005,-0.30,0.85,-0.43
4.89,0.0813,0.6562,-0.8052,0.00,0.39,-0.49
5.00,0.0833,0.6677,-0.7996,0.15,0.89,-0.53
5.10,0.0825,0.6616,-0.7986,-0.28,0.67,-0.37
5.21,0.1028,0.6648,-0.8052,-0.21,0.46,-14.02
5.32,0.0908,0.6650,-0.7947,-0.22,1.24,0.56
5.42,0.0867,0.6643,-0.8083,-0.39,0.82,0.80
5.53,0.1003,0.6536,-0.8057,0.15,0.10,-3.56
5.63,0.0842,0.6665,-0.7954,0.04,0.44,-1.95
5.74,0.0933,0.6621,-0.8110,-0.03,0.81,-0.58
5.84,0.0854,0.6597,-0.7910,-0.50,0.51,-0.32
5.95,0.0850,0.6582,-0.8083,0.02,0.68,-0.44
6.06,0.1055,0.6548,-0.7974,1.87,-0.10,0.88
6.16,0.0962,0.6562,-0.7949,4.19,-1.92,-21.69
6.27,0.0803,0.6606,-0.7896,0.52,1.01,-0.44
6.37,0.0850,0.6685,-0.8098,0.60,0.27,0.59
6.48,0.0901,0.6687,-0.8103,0.98,-0.87,-1.51
6.59,0.0691,0.6406,-0.8062,-0.15,0.56,-0.45
6.69,0.0771,0.6597,-0.8040,-0.39,0.73,-0.60
6.80,0.0894,0.6548,-0.8145,-0.24,0.47,-0.27
6.90,0.0742,0.6606,-0.8103,-0.13,0.43,-0.52
7.01,0.0696,0.6519,-0.8044,-0.13,0.69,-0.40
7.11,0.0688,0.6599,-0.7983,-0.20,0.26,-0.33
7.22,0.0632,0.6594,-0.8000,-0.13,0.60,-0.35
7.32,0.0730,0.6704,-0.7920,-0.07,0.78,-0.35
7.43,0.0708,0.6536,-0.8123,-0.16,0.64,-0.16
7.53,0.0767,0.6602,-0.8074,-0.08,0.36,-0.33
7.64,0.0710,0.6641,-0.8018,-0.15,0.59,-0.47
7.74,0.0715,0.6648,-0.7881,-0.08,0.47,-0.37
7.85,0.0813,0.6628,-0.8245,-0.20,0.52,-0.37
7.96,0.0710,0.6565,-0.8098,1.85,0.31,-0.31
8.06,0.0715,0.6606,-0.8037,0.03,0.94,-0.24
8.17,0.0774,0.6560,-0.8071,-0.08,0.56,-0.52
8.27,0.0750,0.6584,-0.8123,-0.20,0.21,-0.51
8.38,0.0742,0.6636,-0.8030,-0.18,0.69,-0.30
8.48,0.0725,0.6687,-0.8093,-0.04,0.92,-0.27
8.59,0.0703,0.6550,-0.8074,-0.07,0.76,-0.64
8.69,0.0676,0.6587,-0.8066,-0.21,0.60,-0.34
8.80,0.0730,0.6533,-0.7954,-0.19,0.53,-0.47
8.90,0.0693,0.6711,-0.8091,-0.19,0.54,-0.31
9.01,0.0679,0.6409,-0.7949,-0.06,0.43,-0.43
9.11,0.0767,0.6604,-0.8044,-0.24,0.70,-0.24
9.22,0.0759,0.6560,-0.8088,-0.02,0.76,-0.27
9.32,0.0659,0.6528,-0.8088,-0.36,0.25,-0.46
9.43,0.0701,0.6536,-0.8174,-0.12,0.50,-0.27
9.54,0.0664,0.6523,-0.8040,-0.17,0.53,-0.24
9.64,0.0737,0.6575,-0.8003,-0.22,1.07,-0.34
9.75,0.0691,0.6538,-0.8135,-0.56,-0.07,-0.44
9.85,0.0762,0.6511,-0.8093,-0.41,-0.05,-0.53
9.96,0.0728,0.6494,-0.8042,-0.32,0.73,-0.34
10.06,0.0715,0.6624,-0.8052,-0.47,0.31,-0.43
10.17,0.0701,0.6567,-0.8132,1.95,0.52,-0.47
10.27,0.0701,0.6555,-0.8137,-0.27,0.54,-0.37
10.38,0.0654,0.6572,-0.8115,-0.46,0.95,-0.34
10.48,0.0718,0.6567,-0.7974,-0.24,0.47,-0.34
10.59,0.0701,0.6465,-0.8032,-0.04,0.50,-0.24
10.69,0.0701,0.6580,-0.8088,-0.21,0.63,-0.53
10.80,0.0754,0.6548,-0.8066,-0.16,0.37,-0.53
10.90,0.0715,0.6599,-0.8003,-0.27,0.62,-0.34
11.01,0.0686,0.6580,-0.8083,-0.08,0.76,-0.39
11.12,0.0696,0.6548,-0.8093,-0.20,0.96,-0.44
11.22,0.0723,0.6538,-0.8228,-0.27,0.36,-0.66
11.33,0.0623,0.6531,-0.7993,-0.07,0.28,-0.50
11.43,0.0647,0.6565,-0.7961,-0.36,0.86,-0.37
11.54,0.0757,0.6594,-0.7986,-0.03,0.71,-0.49
